File,Extracted_Entities,Ground_Truth_Entities,True_Positive,True_Negative,False_Positive,False_Negative,Accuracy
es-S1699-695X2015000200013-1,"['fluticasone propionate', 'risperidone', 'levothyroxine', 'methylphenidate', 'calcipotriol']","['fluticasone propionate', 'risperidone', 'levothyroxine', 'methylphenidate', 'calcipotriol']",5,0,0,0,1.0
es-S0211-69952016000300015-1,"['mg', 'pilocarpine', 'agalsidase beta', 'agalsidase alfa']","['agalsidase beta', 'agalsidase alfa']",2,0,2,0,0.5
es-S1137-66272013000200019-1,"['silicone gel', 'triamcinolone acetonide']","['silicone gel', 'triamcinolone acetonide']",2,0,0,0,1.0
es-S1131-57682003000400014-1,['amoxicillin'],['amoxicillin'],1,0,0,0,1.0
es-S0365-66912011000600006-1,"['cyclophosphamide', 'vincristine', 'etoposide', 'taxol', 'adriamycin', 'acth', 'ketoconazole', 'cisplatin']","['cyclophosphamide', 'vincristine', 'etoposide', 'taxol', 'adriamycin', 'ketoconazole', 'cisplatin']",7,0,1,0,0.875
es-S0210-48062007000700015-1,"['isoniazid', 'ethambutol', 'rifampicin', 'bcg']","['isoniazid', 'ethambutol', 'rifampicin']",3,0,1,0,0.75
es-S0210-48062005000700012-1,"['doxycycline', 'doxacycline', 'septrim forte', 'ciprofloxacin', 'rifampicin']","['doxycycline', 'doxacycline', 'septrim forte', 'ciprofloxacin', 'rifampicin']",5,0,0,0,1.0
es-S0004-06142009000800011-1,['cephalothin'],['cephalothin'],1,0,0,0,1.0
es-S1130-01082009000500012-1,['5-fluorouracil'],['5-fluorouracil'],1,0,0,0,1.0
es-S0365-66912007000900010-1,"['calcium', 'atropine 1%', 'mg', 'dexamethasone']","['atropine 1%', 'dexamethasone']",2,0,2,0,0.5
es-S0211-57352007000200017-1,"['mg', 'amisulpride', 'clonacepam', 'haloperidol']","['amisulpride', 'clonacepam', 'haloperidol']",3,0,1,0,0.75
S0004-06142005000900015-1,"['mesna', 'ifosfamide', 'adriamycin']","['mesna', 'ifosfamide', 'adriamycin']",3,0,0,0,1.0
es-S0213-12852005000400003-1,"['prednisone', 'azathiproprine', 'nystatin', 'mg', 'calcium carbonate', 'omeprazole', 'vitamin d4', 'azathioprine']","['prednisone', 'azathiproprine', 'nystatin', 'calcium carbonate', 'omeprazole', 'vitamin d4', 'azathioprine']",7,0,1,0,0.875
es-S1130-05582014000400006-2,"['vancomycin', 'saline solution', 'clindamycin', 'mg', 'meropenem']","['vancomycin', 'saline solution', 'meropenem', 'clindamycin']",4,0,1,0,0.8
es-S0365-66912006000400010-1,"['erythromycin', 'fluorometholone']","['erythromycin', 'fluorometholone']",2,0,0,0,1.0
es-S1137-66272012000100018-1,"['zonisamide', 'vpa', 'zns', 'levetiracetam', 'oxc', 'mg', 'valproic acid', 'oxcarbazepine', 'lev']","['zonisamide', 'vpa', 'zns', 'levetiracetam', 'oxc', 'valproic acid', 'oxcarbazepine', 'lev']",8,0,1,0,0.8888888888888888
es-S1130-63432013000600017-1,"['lidocaine', 'prilocaine', 'mg', 'methylene blue', 'oxygen', 'emla']","['prilocaine', 'methylene blue', 'lidocaine', 'emla']",4,0,2,0,0.6666666666666666
es-S1137-66272011000100013-2,"['itraconazole', 'voriconazole']","['itraconazole', 'voriconazole']",2,0,0,0,1.0
es-S0365-66912005001100010-2,"['mitomycin-c 0.02%', 'mitomycin-c']","['mitomycin-c 0.02%', 'mitomycin-c']",2,0,0,0,1.0
es-S0212-16112011000600041-1,"['mg', 'albumin', 'azathioprine']",['azathioprine'],1,0,2,0,0.3333333333333333
es-S1887-85712015000200004-1,"['paracetamol', 'midazolam', 'granisetron', 'fentanyl', 'mg', 'bupivacaine 0.25%', 'desketoprofen', 'propofol', 'sevofluorane', 'rocuronium', 'cefazolin', 'o2', 'celox', 'metronidazole', 'oculo-epithelial', 'ketamine', 'omeprazole', 'tranexamic acid', 'metamizole']","['desketoprofen', 'metronidazole', 'oculo-epithelial', 'rocuronium', 'paracetamol', 'cefazolin', 'midazolam', 'sevofluorane', 'ketamine', 'o2', 'granisetron', 'propofol', 'omeprazole', 'tranexamic acid', 'celox', 'metamizole', 'bupivacaine', 'fentanyl']",17,0,2,1,0.85
es-S0211-69952017000200225-2,"['mg', 'phosphate', 'eculizumab']",['eculizumab'],1,0,2,0,0.3333333333333333
es-S1137-66272009000500015-1,"['mg', 'cisplatin', 'somatostatin']","['cisplatin', 'somatostatin']",2,0,1,0,0.6666666666666666
es-S1139-76322010000600010-1,"['amoxicillin/clavulanic acid', 'acyclovir', 'tobramycin']","['amoxicillin/clavulanic acid', 'acyclovir', 'tobramycin']",3,0,0,0,1.0
es-S1134-80462005000100007-1,"['mg', 'midazolam', 'remifentanil', 'ropivacaine 0.2%', 'ropivacaine 0.18%', 'bupivacaine 0.25%', 'propofol', 'o2', 'fentanyl', 'mivacurium']","['midazolam', 'remifentanil', 'ropivacaine 0.2%', 'ropivacaine 0.18%', 'bupivacaine 0.25%', 'propofol', 'o2', 'fentanyl', 'mivacurium']",9,0,1,0,0.9
es-S1139-76322015000300015-1,"['mg', 'amoxicillin-clavulanic acid']",['amoxicillin-clavulanic acid'],1,0,1,0,0.5
es-S0210-56912009000900008-1,"['oseltamivir', 'azithromycin', 'piperacillin-tazobactam']","['oseltamivir', 'azithromycin', 'piperacillin-tazobactam']",3,0,0,0,1.0
es-S0211-69952010000400013-1,"['mg', 'immunoglobulins', 'methotrexate']",['methotrexate'],1,0,2,0,0.3333333333333333
es-S1137-66272009000100010-1,"['prednisone', 'mg']",['prednisone'],1,0,1,0,0.5
es-S0004-06142009000500011-1,"['prednisone', 'insulin', 'mycophenolate mofetil', 'tacrolimus', 'mg', 'k']","['prednisone', 'mycophenolate mofetil', 'insulin', 'tacrolimus']",4,0,2,0,0.6666666666666666
es-S1139-76322009000400007-1,"['calcium', 'phosphorus', 'paracetamol']",['paracetamol'],1,0,2,0,0.3333333333333333
es-S1137-66272007000500016-1,"['prednisone', 'hydroxychloroquine', 'salazopyrin', 'etanercept', 'methotrexate', 'mg', 'folic acid', 'yttrium-90', 'iron', 'asa']","['prednisone', 'hydroxychloroquine', 'salazopyrin', 'etanercept', 'methotrexate', 'folic acid', 'yttrium-90', 'iron']",8,0,2,0,0.8
es-S0004-06142009000100014-1,"['prednisone', 'strontium', 'gonadotropin-releasing hormone analogue', 'a-lhrh', 'st', 'zoledronic acid', 'testosterone', 'morphine', 'docetaxel']","['prednisone', 'strontium', 'gonadotropin-releasing hormone analogue', 'a-lhrh', 'st', 'zoledronic acid', 'docetaxel']",7,0,2,0,0.7777777777777778
es-S0365-66912010001200005-1,"['prednisone', 'omeprazole']","['prednisone', 'omeprazole']",2,0,0,0,1.0
es-S1137-66272010000300010-1,"['calcium', 'furosemide', 'albumin', 'mg', 'zoledronate']","['furosemide', 'zoledronate']",2,0,3,0,0.4
es-S1137-66272013000100024-1,"['immunoglobulins', 'cloxacillin', 'mg', 'amoxicillin-clavulanic acid', 'cefotaxime']","['cefotaxime', 'cloxacillin', 'amoxicillin-clavulanic acid']",3,0,2,0,0.6
es-S0378-48352006000300006-1,"['mg', 'temozolomide']",['temozolomide'],1,0,1,0,0.5
es-S0212-71992007000200007-1,"['factor viii', 'cyclophosphamide']",['cyclophosphamide'],1,0,1,0,0.5
es-S0212-16112006000100018-1,"['prednisone', 'phosphorus', 'calcium', 'alendronate', 'mg', 'methylprednisolone', 'vitamin d']","['prednisone', 'calcium', 'alendronate', 'methylprednisolone', 'vitamin d']",5,0,2,0,0.7142857142857143
es-S0210-56912006000600007-1,"['etomidate', 'amlodipine', 'carvedilol', 'captopril', 'heparin', 'mg', 'midazolam', 'remifentanil', 'st', 'acetylsalicylic acid', 'protamine', 'cisatracurium', 'methylene blue', 'dobutamine', '5% glucose', 'noradrenaline', 'simvastatin']","['glucose solution', 'etomidate', 'amlodipine', 'carvedilol', 'captopril', 'heparin', 'midazolam', 'remifentanil', 'acetylsalicylic acid', 'protamine', 'methylene blue', 'cisatracurium', 'dobutamine', 'noradrenaline', 'simvastatin']",14,0,3,1,0.7777777777777778
es-S0212-71992005000400009-1,"['methicillin', 'levofloxacin', 'immunoglobulins', 'cloxacillin', 'mg', 'gentamicin', 'rifampicin']","['gentamicin', 'levofloxacin', 'cloxacillin', 'rifampicin']",4,0,3,0,0.5714285714285714
es-S0365-66912005001100008-1,"['atropine 1%', 'doxycycline', 'carmellose sodium', 'atropine', 'tobradex', 'prednisone', 'vitamin a', 'vancomycin', 'tobramycin', 'dexamethasone', 'mg', 'diatracin', 'gentamicin', 'cicloplegic', 'cyclopentolate hydrochloride', 'insulin', 'viscofresh 0.5%', 'vibracina', 'tobrex', 'gevramycin', 'dacortin']","['prednisone', 'atropine 1%', 'vancomycin', 'doxycycline', 'tobramycin', 'viscofresh 0.5%', 'tobrex', 'carmellose sodium', 'dexamethasone', 'vibracina', 'atropine', 'dacortin', 'tobradex', 'gevramycin', 'diatracin', 'gentamicin', 'cicloplegic', 'cyclopentolate hydrochloride']",18,0,3,0,0.8571428571428571
es-S0212-71992005001000009-1,"['levofloxacin', 'vancomycin', 'tobramycin', 'mg', 'oxygen']","['oxygen', 'levofloxacin', 'vancomycin', 'tobramycin']",4,0,1,0,0.8
es-S0210-56912008000200007-1,"['1.36% glucose', 'mg', 'glucose', 'p', 'noradrenaline']",['noradrenaline'],1,0,4,0,0.2
es-S0378-48352004000300007-1,"['prednisone', 'bleomycin', 'cyclophosphamide', 'vinblastine', 'procarbazine', 'vincristine', 'mg', 'doxorubicin', 'dacarbazine']","['prednisone', 'bleomycin', 'cyclophosphamide', 'vinblastine', 'procarbazine', 'vincristine', 'doxorubicin', 'dacarbazine']",8,0,1,0,0.8888888888888888
es-S0365-66912005001100009-1,"['brinzolamide 0.1%', 'azopt']","['brinzolamide 0.1%', 'azopt']",2,0,0,0,1.0
es-S0365-66912007000900014-1,"['mg', 'famciclovir', 'acetylsalicylic acid', 'acyclovir']","['famciclovir', 'acetylsalicylic acid', 'acyclovir']",3,0,1,0,0.75
es-S0212-71992000001200010-1,"['gentamicin', 'mg', 'clindamycin']","['gentamicin', 'clindamycin']",2,0,1,0,0.6666666666666666
es-S0365-66912011000400005-1,"['prednisone', 'leflunomide', 'hydroxychloroquine', 'rituximab', 'methotrexate', 'sulfasalazine', 'methylprednisolone', 'infliximab', 'cyclosporine']","['prednisone', 'leflunomide', 'hydroxychloroquine', 'rituximab', 'methotrexate', 'sulfasalazine', 'methylprednisolone', 'infliximab', 'cyclosporine']",9,0,0,0,1.0
es-S1130-01082008000200009-1,"['mg', 'acetylsalicylic acid']",['acetylsalicylic acid'],1,0,1,0,0.5
es-S1139-76322015000300018-1,"['acyclovir', 'mg', 'ampicillin', 'glucose', 'oxygen', 'cefotaxime']","['cefotaxime', 'acyclovir', 'ampicillin']",3,0,3,0,0.5
es-S0004-06142009000400011-1,"['ifosfamide', 'adriamycin']","['ifosfamide', 'adriamycin']",2,0,0,0,1.0
es-S0210-48062007000700017-1,"['gemcitabine', 'carboplatin', 'bcg']","['gemcitabine', 'carboplatin']",2,0,1,0,0.6666666666666666
es-S1134-80462009000500006-1,"['fentanyl', 'tramadol', 'paracetamol', 'mg', 'folic acid', 'pregabalin', 'iron']","['fentanyl', 'tramadol', 'paracetamol', 'folic acid', 'pregabalin', 'iron']",6,0,1,0,0.8571428571428571
es-S1579-699X2004000400002-1,"['maprotiline', 'p', 'alprazolam', 'paroxetine']","['maprotiline', 'alprazolam', 'paroxetine']",3,0,1,0,0.75
es-S0365-66912008000200014-1,"['mg', 'vitamin a', 'vitamin k', 'vitamin b12']","['vitamin a', 'vitamin k', 'vitamin b12']",3,0,1,0,0.75
es-S0210-56912006000200007-1,"['phosphorus', 'calcium', 'activated charcoal', 'magnesium', 'mg', 'sodium', 'potassium', 'st', 'sodium bicarbonate', 'glucose', 'dimercaprol', 'noradrenaline', 'bicarbonate']","['phosphorus', 'activated charcoal', 'dimercaprol', 'potassium', 'sodium bicarbonate', 'magnesium', 'noradrenaline']",7,0,6,0,0.5384615384615384
es-S1130-01082008000900014-1,"['metoclopramide', 'erythromycin']","['metoclopramide', 'erythromycin']",2,0,0,0,1.0
es-S1139-76322017000200007-1,"['interferon', 'pyrazinamide', 'bcg', 'streptomycin', 'isoniazid', 'amoxicillin-clavulanic acid', 'ethambutol', 'rifampicin']","['pyrazinamide', 'streptomycin', 'isoniazid', 'amoxicillin-clavulanic acid', 'ethambutol', 'rifampicin']",6,0,2,0,0.75
es-S1130-63432014000500008-1,"['alprazolam', 'enoxaparin', 'nitroglycerine', 'mg', 'clopidogrel', 'acetylsalicylic acid', 'atenolol', 'nitroglycerin', 'venlafaxine', 'sertraline']","['alprazolam', 'enoxaparin', 'nitroglycerine', 'clopidogrel', 'acetylsalicylic acid', 'atenolol', 'nitroglycerin', 'venlafaxine', 'sertraline']",9,0,1,0,0.9
es-S1139-76322009000700016-1,"['albumin', 'mg', 'ranitidine', 'glucose', 'omeprazole']","['omeprazole', 'ranitidine']",2,0,3,0,0.4
es-S0365-66912009000300009-1,"['mg', 'dexamethasone', 'tobramycin', 'ceftriaxone']","['dexamethasone', 'tobramycin', 'ceftriaxone']",3,0,1,0,0.75
es-S0365-66912006000600010-2,"['mg', 'topamax']",['topamax'],1,0,1,0,0.5
es-S0004-06142010000300011-1,['bevacizumab'],['bevacizumab'],1,0,0,0,1.0
es-S0365-66912006000700009-1,"['trigon depot', 'mg', 'timoftol® 0.5%', 'triamcinolone', 'timolol 0.5%']","['trigon depot', 'timoftol® 0.5%', 'triamcinolone', 'timolol 0.5%']",4,0,1,0,0.8
es-S0212-71992005000500009-1,"['pyrazinamide', 'mg', 'isoniazid', 'glucose', 'rifampicin']","['isoniazid', 'pyrazinamide', 'rifampicin']",3,0,2,0,0.6
es-S1130-01082007000400015-1,['ertapenem'],['ertapenem'],1,0,0,0,1.0
es-S1130-01082005000500013-1,['interferon'],['interferon'],1,0,0,0,1.0
es-S1130-14732008000500005-1,"['acenocoumarol', 'low molecular weight heparin']","['acenocoumarol', 'low molecular weight heparin']",2,0,0,0,1.0
es-S1130-63432014000400015-1,"['moxifloxacin', 'mg', 'metronidazole', 'vancomycin']","['moxifloxacin', 'vancomycin', 'metronidazole']",3,0,1,0,0.75
es-S0211-69952015000500015-2,"['tg', 'mycophenolate', 'tacrolimus', 'mmf', 'thymoglobulin', 'fk']","['tg', 'mycophenolate', 'tacrolimus', 'mmf', 'thymoglobulin', 'fk']",6,0,0,0,1.0
es-S1130-63432015000200008-1,"['prednisone', 'fluoropyrimidines', 'oxaliplatin', 'mg', 'raltitrexed']","['prednisone', 'raltitrexed', 'fluoropyrimidines', 'oxaliplatin']",4,0,1,0,0.8
es-S1699-695X2016000200010-1,"['levofloxacin', 'dexketoprofen', 'sulpiride', 'clioquinol', 'acyclovir', 'mg', 'beclomethasone', 'betahistine']","['levofloxacin', 'dexketoprofen', 'sulpiride', 'clioquinol', 'acyclovir', 'beclomethasone', 'betahistine']",7,0,1,0,0.875
